Plan,Cloud,Compute type,Instance,vCPU,Memory (GB),DBU/hour,Rate/hour,Instance_df_1,instanceFamily,instanceFamilyName,location,locationName,locationType,locationContinent,currentGeneration,supportedUsageClasses,processorArchitectures,processorClockSpeedInGhz,processorManufacturer,processor,processorFeatures,vCpus,vCpuCores,memorySizeInMiB,storage,onDemandLinuxHr,onDemandLinuxMonth,spotLinuxHr,spotLinuxMonth,spotWindowsHr,spotWindowsMonth
Enterprise,AWS,Jobs Compute,i2.2xlarge,8,61,3,0.6,i2.2xlarge,i2,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,0,"on-demand, spot",x86_64,2.5,Intel,Intel Xeon E5-2670 v2 (Ivy Bridge),Intel AVX; Intel Turbo,8,4,62464,2 x 800 SSD,1.705,1244.65,0.4616,336.97,0.5548,405
Enterprise,AWS,Jobs Compute,12.4xlarge,16,122,6,1.2,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,12.8xlarge,32,244,12,2.4,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,13.large,2,15,0.75,0.15,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,13.xlarge,4,31,1,0.2,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,i3.2xlarge,8,61,2,0.4,i3.2xlarge,i3,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,2.3,Intel,Intel Xeon E5-2686 v4 (Broadwell),Intel AVX; Intel AVX2; Intel Turbo,8,4,62464,1 x 1900 NVMe SSD,0.624,455.52,0.2979,217.47,0.4304,314.19
Enterprise,AWS,Jobs Compute,13.4xlarge,16,122,4,0.8,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,13.8xlarge,32,244,8,1.6,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,13.16xlarge,64,488,16,3.2,,,,,,,,,,,,,,,,,,,0,,,,,
Enterprise,AWS,Jobs Compute,i3en.large,2,16,0.75,0.15,i3en.large,i3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,2,1,16384,1 x 1250 NVMe SSD,0.226,164.98,0.0714,52.12,0.1323,96.58
Enterprise,AWS,Jobs Compute,i3en.xlarge,4,32,1.45,0.29,i3en.xlarge,i3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,4,2,32768,1 x 2500 NVMe SSD,0.452,329.96,0.1511,110.3,0.2647,193.23
Enterprise,AWS,Jobs Compute,i3en.2xlarge,8,64,2.9,0.58,i3en.2xlarge,i3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,8,4,65536,2 x 2500 NVMe SSD,0.904,659.92,0.3419,249.59,0.5308,387.48
Enterprise,AWS,Jobs Compute,i3en.3xlarge,12,96,4.35,0.87,i3en.3xlarge,i3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,12,6,98304,1 x 7500 NVMe SSD,1.356,989.88,0.4653,339.67,0.8006,584.44
Enterprise,AWS,Jobs Compute,i3en.6xlarge,24,192,8.7,1.74,i3en.6xlarge,i3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,24,12,196608,2 x 7500 NVMe SSD,2.712,1979.76,1.07,781.1,1.3752,1003.9
Enterprise,AWS,Jobs Compute,i3en.12xlarge,48,384,17.4,3.48,i3en.12xlarge,i3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,48,24,393216,4 x 7500 NVMe SSD,5.424,3959.52,2.0877,1524.02,2.7504,2007.79
Enterprise,AWS,Jobs Compute,i3en.24xlarge,96,768,34.8,6.96,i3en.24xlarge,i3en,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.1,Intel,Intel Xeon Platinum 8175,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,96,48,786432,8 x 7500 NVMe SSD,10.848,7919.04,3.9314,2869.92,5.7658,4209.03
Enterprise,AWS,Jobs Compute,i4g.large,2,16,0.62,0.124,i4g.large,i4g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.5,AWS,AWS Graviton2 Processor,,2,2,16384,1 x 468 SSD,0.1544,112.74,0.0492,35.92,0,0
Enterprise,AWS,Jobs Compute,i4g.xlarge,4,32,1.24,0.248,i4g.xlarge,i4g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.5,AWS,AWS Graviton2 Processor,,4,4,32768,1 x 937 SSD,0.3089,225.48,0.1222,89.21,0,0
Enterprise,AWS,Jobs Compute,i4g.2xlarge,8,64,2.48,0.496,i4g.2xlarge,i4g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.5,AWS,AWS Graviton2 Processor,,8,8,65536,1 x 1875 SSD,0.6178,450.96,0.2301,167.97,0,0
Enterprise,AWS,Jobs Compute,i4g.4xlarge,16,128,4.95,0.99,i4g.4xlarge,i4g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.5,AWS,AWS Graviton2 Processor,,16,16,131072,1 x 3750 SSD,1.2355,901.93,0.5288,386.02,0,0
Enterprise,AWS,Jobs Compute,i4g.8xlarge,32,256,9.9,1.98,i4g.8xlarge,i4g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.5,AWS,AWS Graviton2 Processor,,32,32,262144,2 x 3750 SSD,2.471,1803.86,1.077,786.21,0,0
Enterprise,AWS,Jobs Compute,i4g.16xlarge,64,512,19.8,3.96,i4g.16xlarge,i4g,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",arm64,2.5,AWS,AWS Graviton2 Processor,,64,64,524288,4 x 3750 SSD,4.9421,3607.72,1.6031,1170.26,0,0
Enterprise,AWS,Jobs Compute,i4i.large,2,16,0.69,0.138,i4i.large,i4i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.5,Intel,Intel Xeon 8375C (Ice Lake),Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,2,1,16384,1 x 468 NVMe SSD,0.172,125.56,0.0521,38.03,0.1228,89.64
Enterprise,AWS,Jobs Compute,i4i.xlarge,4,32,1.38,0.276,i4i.xlarge,i4i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.5,Intel,Intel Xeon 8375C (Ice Lake),Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,4,2,32768,1 x 937 NVMe SSD,0.343,250.39,0.1234,90.08,0.2453,179.07
Enterprise,AWS,Jobs Compute,i4i.2xlarge,8,64,2.75,0.55,i4i.2xlarge,i4i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.5,Intel,Intel Xeon 8375C (Ice Lake),Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,8,4,65536,1 x 1875 NVMe SSD,0.686,500.78,0.2845,207.68,0.4546,331.86
Enterprise,AWS,Jobs Compute,i4i.4xlarge,16,128,5.5,1.1,i4i.4xlarge,i4i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.5,Intel,Intel Xeon 8375C (Ice Lake),Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,16,8,131072,1 x 3750 NVMe SSD,1.373,1002.29,0.649,473.77,0.95,693.5
Enterprise,AWS,Jobs Compute,i4i.8xlarge,32,256,11,2.2,i4i.8xlarge,i4i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.5,Intel,Intel Xeon 8375C (Ice Lake),Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,32,16,262144,2 x 3750 NVMe SSD,2.746,2004.58,1.2291,897.24,1.7466,1275.02
Enterprise,AWS,Jobs Compute,i4i.16xlarge,64,512,22,4.4,i4i.16xlarge,i4i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.5,Intel,Intel Xeon 8375C (Ice Lake),Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,64,32,524288,4 x 3750 NVMe SSD,5.491,4008.43,1.8759,1369.41,3.4931,2549.96
Enterprise,AWS,Jobs Compute,i4i.32xlarge,128,1024,44,8.8,i4i.32xlarge,i4i,Storage optimized,us-east-1,US East (N. Virginia),AWS Region,North America,1,"on-demand, spot",x86_64,3.5,Intel,Intel Xeon 8375C (Ice Lake),Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,128,64,1048576,8 x 3750 SSD,10.9824,8017.15,3.0824,2250.15,7.9087,5773.35
